fix_identifier,state,description
ACARA,NEVADA,36-00-32.7200N 115-05-27.2400W
ACARI,PENNSYLVANIA,40-46-09.8900N 080-08-21.6400W
ACASA,,07-17-17.1700N 151-47-52.7400E
ACATA,ILLINOIS,41-22-03.3000N 088-49-04.0200W
ACATE,ALASKA,59-42-50.9300N 162-33-09.7000W
ACATI,MICHIGAN,43-43-27.0600N 083-47-45.3400W
ACAVA,COLORADO,38-02-52.2400N 103-36-59.8500W
ACAVU,PENNSYLVANIA,41-50-52.4000N 079-33-16.3500W
ACAYO,NEBRASKA,42-12-02.8800N 096-58-54.3700W
ACCHE,FLORIDA,29-34-43.0200N 081-28-29.1900W
ACCOM,VIRGINIA,37-34-16.7700N 075-48-04.6800W
ACCOW,NEW HAMPSHIRE,44-42-26.6200N 071-12-02.9000W
ACCRA,ILLINOIS,41-56-00.0000N 088-01-10.0000W
ACDAV,ALASKA,64-29-30.0400N 162-44-17.1800W
ACDEP,WASHINGTON,45-40-14.0800N 122-37-52.1600W
ACDIV,MISSOURI,37-40-32.0800N 089-56-15.4200W
ACEBE,WISCONSIN,44-39-52.9100N 089-15-49.5300W
ACEBO,MINNESOTA,48-40-27.0800N 095-37-56.4500W
ACECI,TEXAS,30-00-40.7000N 095-48-17.9800W
ACEDI,KENTUCKY,36-55-14.3000N 088-56-21.8600W
ACEHO,NEBRASKA,41-51-12.1300N 102-41-42.5400W
ACEHY,INDIANA,41-06-19.1700N 087-04-55.5100W
ACEJU,FLORIDA,29-35-41.5600N 082-54-53.9300W
ACEKO,CALIFORNIA,SWR*D*214.38/15.00 39-01-13.7600N 120-31-00.1500W
ACELA,CONNECTICUT,HFD*D*234.01/16.05 MAD*D*344.92/8.50 41-26-19.8900N 072-46-51.0700W
ACELI,NEW MEXICO,35-25-22.8800N 108-05-28.4900W
ACELL,CALIFORNIA,ELB*D*322.62 PDZ*C*256.38 SLI*C*033.96/12.89 33-55-28.2100N 117-51-35.8600W
ACELO,VIRGINIA,39-22-28.1200N 078-17-12.9700W
ACEMI,IOWA,42-06-52.5100N 090-11-55.7100W
ACENE,FLORIDA,30-32-03.7600N 081-37-16.7000W
ACENO,NORTH CAROLINA,POB*T*049.00/12.00 POB*LS*048.45 35-19-02.8400N 078-51-23.1000W
ACEPA,ARIZONA,36-53-31.5800N 113-35-36.7200W
ACEPU,WISCONSIN,43-15-08.8000N 088-07-30.8600W
ACERA,GEORGIA,33-51-59.7900N 084-11-35.6600W
ACERB,SOUTH CAROLINA,35-05-56.2400N 081-07-42.9800W
ACERE,FLORIDA,25-46-14.8400N 080-40-00.3600W
ACERI,COLORADO,38-02-54.3100N 103-24-04.4600W
ACERO,NEW MEXICO,36-21-48.6900N 103-12-43.8800W
ACERT,OKLAHOMA,35-59-03.5700N 096-07-58.4300W
ACESI,KANSAS,37-25-37.8400N 097-25-05.6300W
ACETE,WEST VIRGINIA,40-15-50.0800N 080-35-26.1000W
ACETI,FLORIDA,VQQ*LD*184.56/7.51 30-06-45.1600N 081-52-22.8900W
ACETO,KENTUCKY,38-08-34.0900N 085-00-26.0700W
ACETY,CALIFORNIA,36-56-03.0900N 121-30-57.1100W
ACEYE,ALASKA,60-36-26.4500N 151-29-54.8400W
ACFIJ,IDAHO,IDA*D*233.00/48.25 BYI*D*024.00/51.30 43-12-47.3200N 113-05-00.6800W
ACGET,TEXAS,29-52-04.7800N 098-05-25.0700W
ACHAV,FLORIDA,29-28-57.0600N 083-03-37.3300W
ACHED,WISCONSIN,43-19-08.1700N 087-51-08.0700W
ACHES,COLORADO,37-26-09.1800N 105-26-00.8000W
ACHLE,OHIO,38-32-31.5700N 082-37-42.7900W
ACHOZ,CALIFORNIA,37-18-12.3500N 122-02-29.0200W
ACIBE,INDIANA,40-50-48.0500N 085-32-47.8300W
ACIDU,WISCONSIN,42-45-40.6200N 088-37-34.0200W
ACIDY,NEW YORK,43-03-00.7800N 075-57-13.3100W
ACIGE,ALASKA,ENA*D*219.51/20.00 60-26-23.3000N 151-46-08.0400W
ACIGO,ILLINOIS,38-14-22.6000N 089-41-56.4000W
ACIKI,WEST VIRGINIA,39-41-01.4500N 079-55-28.1500W
ACILI,VIRGINIA,37-27-42.6000N 077-26-38.6900W
ACINI,ARIZONA,DMA*T*120.00/25.00 31-52-48.0100N 110-31-02.1100W
ACINS,CALIFORNIA,HDF*V*353.00 PDZ*C*072.00/18.39 33-56-01.9600N 117-09-43.6300W
ACIPO,UTAH,40-32-13.8300N 111-58-42.8100W
ACIPU,FLORIDA,27-26-28.0700N 082-36-27.0800W
