fix_identifier,state,description
DATRE,INDIANA,40-45-35.4100N 085-55-21.4700W
DATRR,NEW YORK,41-37-52.1100N 074-12-03.9100W
DATRY,FLORIDA,28-10-39.4800N 082-09-13.0700W
DATSA,MONTANA,GTF*C*277.34/16.54 47-33-30.7600N 111-47-09.1200W
DATSE,TEXAS,35-22-51.7800N 101-32-12.2000W
DATSK,,42-16-29.7800N 082-59-17.8800W
DATTO,NORTH CAROLINA,35-46-26.1900N 079-20-34.2300W
DATTS,CALIFORNIA,OAK*D*287.93/11.00 SFO*D*334.59 37-49-51.0800N 122-24-47.9300W
DATTT,NEVADA,39-21-16.3900N 119-30-28.3800W
DATVE,WASHINGTON,YKM*C*310.00/17.00 46-49-04.0000N 120-38-40.7100W
DAUBS,TEXAS,PNH*C*216.86/33.69 34-50-07.6700N 102-10-48.6200W
DAUBY,TENNESSEE,HCH*D*335.04/6.40 35-52-34.3700N 085-02-16.6600W
DAUGG,TEXAS,30-11-00.8500N 095-41-27.9300W
DAUGS,OHIO,41-18-46.8700N 082-02-50.5500W
DAUSN,MISSOURI,39-15-36.1000N 094-37-36.9600W
DAVAY,CALIFORNIA,34-49-07.5900N 117-01-10.9200W
DAVBE,ALASKA,61-50-52.6400N 161-30-41.8900W
DAVCA,ARKANSAS,33-42-38.1100N 091-21-43.8800W
DAVDA,NEW YORK,44-43-27.0000N 075-22-28.2000W
DAVDE,ARKANSAS,34-47-20.5000N 094-11-34.6000W
DAVEC,FLORIDA,27-40-41.9600N 080-29-22.8700W
DAVEW,PENNSYLVANIA,40-14-03.5200N 077-32-20.3600W
DAVEY,OKLAHOMA,END*C*234.00/4.00 36-18-38.0400N 097-59-20.6100W
DAVEZ,ARIZONA,TUS*C*245.00/25.00 32-00-01.3100N 111-23-32.2600W
DAVGE,KANSAS,38-22-28.7500N 098-13-44.1700W
DAVID,VERMONT,43-54-35.4300N 072-20-53.5100W
DAVIM,NEW JERSEY,40-49-44.2900N 074-05-47.0500W
DAVIS,ILLINOIS,JVL*D*237.50/14.24 42-26-26.7500N 089-23-03.0900W
DAVIZ,ALASKA,65-20-30.9400N 168-16-19.7000W
DAVKE,KANSAS,39-31-15.0100N 098-07-41.0800W
DAVLE,OKLAHOMA,36-06-03.9300N 095-28-48.2400W
DAVNE,TEXAS,31-47-14.6800N 106-15-09.6500W
DAVSN,MISSISSIPPI,CBM*C*185.00/37.00 33-01-33.7300N 088-30-08.9900W
DAVSS,ALABAMA,32-43-35.2100N 085-51-19.9400W
DAVTE,COLORADO,40-01-41.7000N 104-34-47.5400W
DAVVK,,42-51-15.8400N 079-09-35.6900W
DAVVS,OHIO,41-11-26.1500N 083-30-19.4400W
DAVVY,COLORADO,DBL*D*064.27/25.52 39-32-20.9700N 106-21-38.1400W
DAVYE,TEXAS,31-07-26.6500N 095-38-39.7200W
DAVYS,NEW JERSEY,CYN*C*296.47 ENO*C*043.54/50.39 RBV*C*237.95/25.00 39-55-20.6000N 074-53-49.7700W
DAVYT,OFFSHORE ATLANTIC,34-10-53.2400N 066-06-57.2100W
DAWAL,WASHINGTON,47-30-22.5400N 122-28-04.6100W
DAWES,NEBRASKA,CDR*LS*208.09 CDR*LS 42-45-18.3800N 103-10-28.3900W
DAWGG,ARKANSAS,GQE*D*291.00/16.64 ARG*C*164.00/39.56 35-27-50.5000N 090-47-09.0900W
DAWGZ,TEXAS,33-21-31.2900N 096-50-20.0700W
DAWIN,OFFSHORE ATLANTIC,20-32-19.5700N 062-27-27.2800W
DAWKS,OKLAHOMA,35-34-48.2700N 097-59-25.2100W
DAWKU,ALASKA,53-57-55.7600N 166-27-47.4200W
DAWNA,CALIFORNIA,HDF*V*353.00 PDZ*C*029.90/29.37 34-15-53.9200N 117-06-47.0200W
DAWNE,ALASKA,61-27-34.3300N 151-26-40.9200W
DAWNN,INDIANA,IIU*C*311.38/41.49 VHP*C*174.00/75.00 MYS*V*002.06 38-34-05.7100N 086-13-43.2500W
DAWNO,FLORIDA,PIE*C*092.00 TPA*LD*S CRS 27-54-02.0000N 082-31-52.1600W
DAWNY,CALIFORNIA,VBG*T* /7.83 VBG*LS*124.54 34-38-21.9100N 120-28-19.7600W
DAWNZ,WEST VIRGINIA,CSN*C*010.00/32.67 AML*D*320.63 39-11-05.3400N 077-49-00.0600W
DAWSN,SOUTH DAKOTA,43-55-23.7100N 099-29-53.2400W
DAWSO,MINNESOTA,45-01-24.6200N 096-13-39.8900W
DAWTS,NORTH CAROLINA,34-59-09.2700N 078-52-30.6000W
DAWWN,GEORGIA,31-28-49.9600N 084-36-46.6900W
DAXEJ,MICHIGAN,42-53-13.4000N 085-26-57.4200W
DAXIQ,MONTANA,48-04-55.3700N 104-52-21.2200W
DAXPO,ARKANSAS,33-23-32.6700N 093-54-46.7100W
DAXZU,NEBRASKA,41-06-10.1600N 095-57-43.8100W
DAYAD,NEW JERSEY,39-10-47.8400N 074-31-35.9800W
DAYAG,LOUISIANA,30-18-37.6300N 093-11-53.8100W
DAYAK,FLORIDA,25-15-15.7800N 080-10-21.0600W
DAYAL,MINNESOTA,48-46-13.9100N 095-40-00.5800W
DAYAR,WISCONSIN,DLH*C*181.97/15.00 46-33-14.7700N 092-14-48.5800W
DAYAV,NORTH DAKOTA,FAR*D*209.88/7.00 46-39-45.0500N 096-57-27.4900W
DAYAY,TEXAS,TYR*LD*222.11/6.49 32-17-03.4400N 095-29-00.7000W
DAYEL,GEORGIA,34-58-32.4500N 083-16-38.0400W
DAYET,TEXAS,NOG*T*121.00/12.00 NQI*T*346.09/16.89 27-46-38.3700N 097-51-36.7500W
DAYHI,ARIZONA,35-22-14.6800N 112-10-45.6400W
DAYLE,MINNESOTA,GEP*C*315.00/37.00 STC*D*048.35/7.14 AXN*D*102.65 45-37-24.7500N 093-55-34.2000W
DAYMN,NEVADA,38-59-19.0000N 115-51-00.0000W
DAYNA,TEXAS,29-37-42.4700N 095-07-18.8000W
DAYRE,ILLINOIS,AXC*C*216.94/33.92 39-18-09.7500N 089-19-26.2800W
DAYSA,MICHIGAN,42-43-37.1200N 086-13-31.4300W
DAYSS,WASHINGTON,45-43-28.6700N 122-40-59.2300W
DAYTE,GEORGIA,33-21-23.2700N 082-01-25.5800W
DAYVE,OHIO,39-43-10.6800N 082-17-48.2500W
DAYVI,OHIO,39-21-33.6300N 084-46-25.2400W
DAYVL,ILLINOIS,PLL*D*085.00/9.47 41-58-15.4500N 089-18-45.9300W
DAYVS,ALABAMA,33-14-03.9300N 087-12-07.8800W
DAYVU,ALASKA,56-23-43.0000N 161-02-23.0600W
DAYWU,FLORIDA,30-43-52.4100N 085-56-27.0400W
DAYYE,ILLINOIS,39-47-44.1500N 090-42-00.0100W
DAYYO,NEW JERSEY,GXU*C*058.91/9.21 JTQ*LG*057.76 40-06-51.6100N 074-27-01.4700W
DAYYU,VIRGINIA,37-58-15.2000N 079-35-21.4200W
DAYYY,MICHIGAN,44-10-10.0000N 084-22-23.0000W
DAYZD,OHIO,LIZ*LD*237.94/11.96 41-17-27.2200N 082-02-42.4400W
DAYZE,ILLINOIS,IZJ*LD*273.87/21.43 41-57-20.0300N 088-22-17.8100W
DAYZZ,TEXAS,PKQ*LD*176.26/7.50 32-45-02.9900N 097-01-36.6900W
DAZED,NORTH CAROLINA,35-03-44.6200N 079-36-21.0100W
DAZEL,ARKANSAS,ARG*C*107.84 JBR*D*018.57/6.43 35-58-35.9000N 090-32-47.2700W
DAZEY,OHIO,41-17-34.0100N 083-30-28.1900W
DAZIE,WASHINGTON,GEG*C*012.60/16.92 47-49-00.4700N 117-26-22.3100W
DAZNI,ALABAMA,34-42-28.4600N 087-25-14.8500W
DAZOO,NEW YORK,40-49-26.3400N 073-49-14.1800W
DBABE,NEW YORK,41-08-30.0000N 074-05-46.0000W
DBACK,ARIZONA,PXR*C*034.44/43.00 33-55-34.4500N 111-20-45.9800W
DBASE,TEXAS,31-06-42.5300N 100-32-09.0200W
DBERD,VIRGINIA,37-22-47.4800N 079-49-58.1800W
DBLAA,COLORADO,39-21-46.6100N 103-41-12.2100W
DBLEE,MISSOURI,38-41-01.9800N 090-32-54.9600W
DBLEM,MINNESOTA,44-42-00.4200N 092-54-42.8500W
DBLEY,OREGON,44-24-11.2400N 122-08-58.4600W
DBLII,ARIZONA,36-01-17.9600N 114-37-23.2500W
DBLNC,SOUTH CAROLINA,32-31-09.0900N 080-46-18.4200W
DBLSS,TEXAS,33-03-06.7100N 098-13-50.1600W
DBLTN,COLORADO,39-16-10.5200N 106-52-47.7100W
DBLUS,WASHINGTON,48-19-00.0000N 117-24-00.0000W
DBOBO,CALIFORNIA,40-32-50.5300N 121-21-51.2500W
DBOLT,GEORGIA,33-15-54.2400N 081-51-52.6300W
DBORD,TEXAS,30-08-47.5600N 097-51-18.5300W
DBOSS,WASHINGTON,47-12-16.0000N 123-01-45.0000W
DBOYS,TEXAS,29-42-49.7800N 095-41-13.4500W
DBRAA,TEXAS,28-47-36.6800N 100-16-16.7200W
DBRAH,VIRGINIA,37-20-34.1400N 080-04-10.7500W
DBURR,MAINE,44-11-11.0600N 069-48-30.8700W
DCATS,MICHIGAN,42-27-12.0000N 083-10-09.1700W
DCEEE,MONTANA,SMR*LD*212.00*SW CRS/9.04 47-23-07.6600N 111-30-26.0600W
DCESN,ALASKA,61-30-39.4700N 149-38-52.8800W
DCIDE,IOWA,43-15-49.9300N 091-27-36.1800W
DCODA,KANSAS,39-52-17.4700N 097-56-04.9900W
DCSIX,ALASKA,61-31-46.6700N 151-20-50.8700W
DCTRK,NEW YORK,40-45-45.1100N 073-50-13.7000W
DCTRS,FLORIDA,25-12-18.7000N 080-22-45.1500W
DDANO,WASHINGTON,48-05-26.4500N 122-41-52.4500W
DDANY,FLORIDA,28-12-41.4200N 080-40-21.4400W
DDART,MISSISSIPPI,CBM*C*189.00/26.00 33-12-45.7400N 088-31-09.7300W
DDASH,ALABAMA,33-46-11.5400N 085-36-04.1600W
DDATA,SOUTH CAROLINA,33-57-01.0800N 080-41-07.2500W
DDAWN,FLORIDA,30-18-58.9400N 086-42-51.3400W
DDEEZ,MICHIGAN,43-32-32.5000N 083-36-09.0800W
DDENA,SOUTH CAROLINA,32-41-08.8000N 080-20-38.8800W
DDOEE,KANSAS,38-15-44.6100N 097-52-28.0900W
DDOGE,MICHIGAN,42-27-27.7300N 083-44-48.4100W
DDOGG,OHIO,40-45-36.3000N 081-41-25.7400W
DDOUG,ALASKA,61-21-06.6800N 149-57-25.5300W
DDRTH,WYOMING,41-27-33.0700N 106-14-42.0900W
DDTOO,TEXAS,CWK*C*217.20 VNK*LD*354.70/4.89 30-15-31.6400N 097-39-33.5900W
DDUBB,GEORGIA,33-34-01.2900N 084-04-55.2500W
DDUBS,PENNSYLVANIA,41-28-57.2700N 077-45-22.5900W
DDUCK,IOWA,43-23-04.9900N 091-39-09.1100W
DDUKE,ARIZONA,33-09-18.9600N 111-51-15.1900W
DDUNE,FLORIDA,DWG*T*180.00/8.00 30-20-40.5200N 086-31-15.1200W
DEACN,NEW YORK,42-30-30.4900N 076-38-45.4100W
DEADS,ALASKA,CDB*C*329.21/10.00 CDB*LS*326.35 55-25-21.9700N 162-52-40.1600W
DEAHD,OHIO,40-10-54.1700N 083-26-49.4300W
DEAKN,NORTH CAROLINA,35-58-25.2800N 080-11-52.5500W
DEALE,MARYLAND,ENO*C*250.66/54.23 EMI*C*161.43/46.68 38-47-51.9100N 076-32-00.3400W
DEALR,NEVADA,36-01-08.3500N 115-11-56.6600W
DEALS,ALASKA,MDO*D*280.27/40.33 JOH*D*194.00/52.75 59-44-03.0000N 147-31-10.8900W
DEALT,WYOMING,DDY*D*136.72/21.00 IIP*D*269.28 42-47-28.9700N 106-01-48.8300W
DEALZ,FLORIDA,25-53-38.4600N 080-09-26.3800W
DEAND,VIRGINIA,FAK*C*049.76/23.16 RIC*C*345.00/20.00 37-48-25.5300N 077-29-28.9000W
DEANE,COLORADO,DPP*LD*172.54/16.83 39-35-13.7700N 104-38-40.9000W
DEANI,MICHIGAN,43-43-07.3600N 085-46-29.2000W
DEANN,UTAH,37-12-34.0000N 111-42-47.0000W
DEANO,CALIFORNIA,VTU*D*288.58/21.89 FIM*C*250.00/26.70 RZS*C*109.18/21.05 34-18-59.9900N 119-24-59.2200W
DEANR,FLORIDA,29-15-30.4000N 083-03-30.2400W
DEANS,SOUTH CAROLINA,IRQ*C*344.43/38.00 34-18-17.6500N 082-25-05.2500W
DEANY,ALABAMA,RQZ*C*195.40/19.50 34-29-11.5200N 086-45-05.1100W
DEAPE,WYOMING,42-36-07.0900N 108-44-11.0000W
DEARY,FLORIDA,MLB*D*276.01/14.80 TRV*C*325.33/33.88 ORL*C*139.79/34.58 28-06-02.5300N 080-54-51.4000W
DEASH,INDIANA,41-34-52.2600N 087-26-04.0700W
DEBAR,INDIANA,MIE*D*089.77/19.06 40-15-16.0700N 084-58-47.1700W
DEBAY,ALABAMA,RQZ*C*235.36 TVN*LS*004.95 34-43-42.1200N 086-45-50.2200W
DEBBA,WISCONSIN,45-32-59.2300N 089-23-01.3000W
DEBBI,WYOMING,GCC*D*232.85/16.06 44-13-15.6600N 105-52-18.0400W
DEBBO,IOWA,MZV*D*272.60/22.75 41-22-12.6600N 091-08-14.4800W
DEBBS,CALIFORNIA,SNS*C* /15.66 SNS*LS*134.82 36-26-28.8500N 121-25-59.1600W
DEBBT,SOUTH CAROLINA,34-35-50.1600N 081-25-55.1600W
DEBBY,OHIO,AQI*LD*281.20/2.37 39-59-48.1800N 082-57-49.6400W
DEBEC,MISSOURI,39-39-58.2600N 094-54-24.8800W
DEBEY,CALIFORNIA,SEE*LE*089.08/3.98 32-48-57.4000N 116-54-23.5600W
DEBGE,ARKANSAS,36-14-26.5500N 093-36-35.2300W
DEBIE,SOUTH CAROLINA,CLT*D*255.00/44.99 34-55-49.0600N 081-48-32.0600W
DEBII,LOUISIANA,32-56-56.9000N 093-09-20.5000W
DEBIY,GEORGIA,34-25-13.2500N 085-09-04.8600W
DEBKY,TEXAS,32-01-17.6900N 094-11-37.0300W
DEBLE,NEBRASKA,42-39-51.7300N 099-49-08.4200W
DEBNE,GEORGIA,33-59-08.7300N 083-18-18.9100W
DEBOT,ALASKA,TNC*RD*159.32/1.00 65-32-43.4700N 167-55-02.5500W
DEBOW,WISCONSIN,BAE*D*225.51/33.73 MSN*C*135.33/32.77 42-44-08.3000N 088-50-48.9200W
DEBRA,NEW MEXICO,TXO*C*207.00/50.98 CME*C*051.00/64.72 33-49-21.9800N 103-28-03.2300W
DEBRE,MONTANA,48-06-38.9700N 114-19-25.0900W
DEBRL,FLORIDA,29-17-48.7300N 081-08-02.8800W
DEBRY,HAWAII,IUM*LD*222.01/9.36 21-14-10.6000N 158-02-13.2900W
DEBSE,KANSAS,39-20-39.7100N 096-35-27.4900W
DEBUQ,TEXAS,30-07-27.5100N 094-17-00.9900W
DEBYE,NEW YORK,40-54-28.7100N 073-25-04.1300W
DEBZZ,WEST VIRGINIA,38-05-13.9100N 080-15-18.0500W
DECAB,PENNSYLVANIA,41-50-23.8500N 079-22-44.2700W
DECAC,NEW YORK,43-24-31.4800N 073-37-49.2000W
DECAD,KANSAS,38-01-15.6900N 097-36-31.4400W
DECAF,VIRGINIA,37-14-15.4500N 079-15-11.2200W
DECAK,ILLINOIS,41-50-59.7000N 088-46-37.7400W
DECAL,WISCONSIN,DLL*C*114.94/21.46 MSN*C*358.66/14.26 DSZ*LD*004.94/15.65 43-22-56.6100N 089-19-48.9000W
DECAN,TEXAS,EWM*C*079.01/31.00 31-56-28.4900N 105-39-55.0900W
DECAP,TEXAS,BYP*C*064.19/9.06 TTT*D*042.49/65.35 33-35-19.0400N 096-03-50.8400W
DECAR,MASSACHUSETTS,BAF*C*204.98/6.60 CTR*D*160.21 42-03-14.1100N 072-44-39.5800W
DECAS,CALIFORNIA,PSP*C*080.00/48.71 BLH*C*277.57/37.38 33-49-24.9300N 115-27-23.8000W
DECAV,TENNESSEE,36-17-57.9600N 087-36-20.9400W
DECAY,NEVADA,36-04-35.0800N 114-59-51.8600W
DECCO,MASSACHUSETTS,CEF*T*040.00/13.00 42-23-32.2200N 072-23-53.2900W
DECEA,CALIFORNIA,33-50-49.0000N 118-04-36.0000W
DECED,IOWA,40-40-21.8300N 094-06-54.4800W
DECEE,INDIANA,CVG*C*294.00/52.65 VHP*C*136.02/41.11 SHB*D*170.94/19.44 39-18-41.3600N 085-45-56.8400W
DECEG,GEORGIA,33-28-10.1500N 084-55-51.6200W
DECEK,WISCONSIN,43-42-39.8600N 087-45-22.3600W
DECEL,OKLAHOMA,36-38-48.5900N 102-52-48.4800W
DECEN,NEW HAMPSHIRE,43-21-51.5200N 072-13-02.0000W
DECEP,IDAHO,44-42-04.0800N 116-03-51.3300W
DECER,WISCONSIN,42-47-17.8100N 088-26-14.2200W
DECES,VIRGINIA,BRV*C*347.09 AML*D*182.36/30.00 CSN*C*125.32 38-26-11.4500N 077-24-14.9500W
DECET,WISCONSIN,45-48-20.5900N 089-37-02.2500W
DECEV,WYOMING,43-21-44.7400N 110-51-24.0200W
DECKA,NEBRASKA,41-56-10.4500N 096-15-58.1700W
DECKK,OKLAHOMA,ADM*C*345.99/40.00 IRW*C*143.87/33.28 34-52-22.1200N 097-16-51.9200W
DECKR,NEW YORK,40-39-07.0700N 074-02-42.1000W
DECKS,FLORIDA,27-52-50.1300N 082-40-20.6400W
DECKY,NEBRASKA,GRI*D*265.81/15.98 40-59-47.5400N 098-39-57.6000W
DECLN,GEORGIA,34-07-49.1500N 084-27-52.9500W
DECNE,NEBRASKA,40-38-40.7400N 098-22-12.0700W
DECOD,TEXAS,BYP*C*064.19/49.86 EIC*C*303.34/97.46 33-48-58.0200N 095-17-44.6400W
DECOI,NORTH CAROLINA,35-22-18.4900N 077-06-25.2500W
DECON,MARYLAND,38-49-29.7800N 076-39-13.9400W
DECOR,CALIFORNIA,OSS*LD*071.00/33.70 34-00-54.2300N 117-46-13.0700W
DECOT,CALIFORNIA,OSI*D*023.88 OAK*D*113.73/11.00 SFO*D*075.88/15.52 37-36-21.7300N 122-02-55.4900W
DECOY,PENNSYLVANIA,41-44-22.8400N 077-58-59.4100W
DECPA,ILLINOIS,39-42-10.1000N 087-33-09.2100W
DECPE,NORTH CAROLINA,35-49-36.2500N 078-33-44.6800W
DECRA,TEXAS,BXN*LD*S CRS/4.97 32-47-35.2500N 097-03-09.7100W
DECRR,OHIO,41-24-23.1900N 080-40-59.7100W
DECSA,PENNSYLVANIA,40-10-47.3600N 079-55-30.9400W
DECTU,ARIZONA,33-09-21.0300N 111-58-16.2500W
DEDAY,KANSAS,38-17-41.6500N 097-30-08.9600W
DEDBE,WASHINGTON,47-49-17.1400N 122-04-09.0600W
DEDDA,FLORIDA,30-38-54.5800N 081-43-03.0500W
DEDDE,OHIO,CVG*C*034.00/40.00 39-35-34.8500N 084-16-20.0800W
DEDDY,SOUTH CAROLINA,32-53-39.3300N 080-02-15.4800W
DEDEC,NEW HAMPSHIRE,43-40-54.8700N 071-09-22.6300W
DEDHD,CALIFORNIA,38-20-07.8600N 122-06-46.1100W
DEDHM,MASSACHUSETTS,42-11-44.3000N 070-56-57.0300W
DEDKE,ARIZONA,36-48-52.4600N 112-37-28.8300W
DEDKI,,43-41-25.0000N 078-43-06.0000W
DEDLE,MARYLAND,39-14-11.2700N 076-53-10.9900W
DEDME,OFFSHORE ATLANTIC,39-45-16.0000N 072-16-30.0000W
DEDNE,WYOMING,42-30-56.0600N 109-35-23.9300W
DEDPL,CALIFORNIA,36-26-39.7300N 116-36-39.5300W
DEDVE,OHIO,40-00-31.2800N 084-01-55.3200W
DEDWT,TEXAS,34-01-18.1000N 099-15-09.2400W
DEDYA,ALASKA,59-17-13.5400N 139-32-03.2100W
DEDYN,WISCONSIN,43-19-25.1700N 087-54-48.7700W
DEEAN,CALIFORNIA,38-20-56.9900N 123-18-08.2400W
DEEBA,MAINE,45-14-37.8800N 069-22-27.0200W
DEEBE,TEXAS,30-05-50.2500N 094-55-15.9100W
DEEBO,NORTH DAKOTA,48-27-29.2700N 101-26-55.3400W
DEEDA,GEORGIA,31-34-13.5500N 085-00-31.1000W
DEEDE,NEW YORK,PWL*D*171.90/7.86 IGN*D*107.00/12.72 41-38-47.8100N 073-32-25.7400W
DEEDS,FLORIDA,MTH*R*178.32 EYW*C*019.21/88.79 RSW*C*140.33/44.12 PHK*D*211.35/56.31 CYY*D*112.51/31.26 25-58-40.3100N 081-13-59.6000W
DEEDY,PUERTO RICO,SJU*C*003.77/15.00 BQN*C*089.04 18-41-42.9000N 066-01-21.5100W
DEEEH,TEXAS,32-30-10.0100N 094-06-54.3000W
DEEER,VIRGINIA,37-37-55.3000N 077-39-56.2600W
DEEEZ,NORTH CAROLINA,35-16-55.9200N 078-14-24.2800W
DEEII,CALIFORNIA,37-48-52.6100N 121-52-02.7500W
DEEJA,ALASKA,58-54-08.0000N 135-00-00.0000W
DEEJY,MINNESOTA,FAR*D*060.05/15.00 46-50-31.9400N 096-30-40.4000W
DEEKE,HAWAII,21-42-51.0000N 159-06-34.0000W
DEEKN,OHIO,41-39-39.3400N 081-47-53.7400W
DEEKS,INDIANA,VHP*C*036.66/30.04 40-12-38.3700N 085-58-05.3800W
DEELE,MINNESOTA,43-35-00.9900N 094-54-19.8800W
DEELM,MONTANA,47-32-53.2400N 111-16-02.4800W
DEELO,COLORADO,40-08-49.4500N 104-14-14.3900W
DEELR,MAINE,44-40-33.1400N 067-27-44.5600W
DEELX,SOUTH CAROLINA,34-56-03.1200N 081-07-05.9800W
DEEMS,VIRGINIA,ORF*C*233.39/13.00 36-44-31.5400N 076-23-43.8400W
DEENE,NORTH CAROLINA,ISO*C*009.00 TYI*C*064.34/11.66 36-04-32.8600N 077-29-51.4200W
DEENS,ARKANSAS,TXK*C*332.24/31.62 PRX*D*056.85 34-00-26.7500N 094-17-52.6500W
DEEON,NEVADA,36-02-24.3600N 115-25-51.3200W
DEEPE,KENTUCKY,37-17-41.9800N 087-29-38.5200W
DEEPO,MASSACHUSETTS,ORW*D*130.34 ACK*D*270.00/38.00 MVY*D*226.01 41-06-53.9600N 070-50-09.8500W
DEEPS,TEXAS,32-12-13.8500N 098-23-08.0700W
DEERE,ILLINOIS,OBK*D*096.80/15.56 CGT*C*356.00/41.35 42-11-56.8800N 087-36-14.0500W
DEERR,NEW YORK,44-48-02.6600N 074-22-49.4200W
DEERY,NEW YORK,DPK*D*186.43 ISP*LD*238.99/12.57 40-39-21.7800N 073-17-10.7300W
DEEWY,TENNESSEE,35-02-01.6600N 089-58-21.4800W
DEEZE,KANSAS,37-48-09.1500N 097-55-53.0900W
DEEZZ,NEW YORK,DPK*D*324.07/28.96 41-06-52.0000N 073-46-40.0000W
DEFEE,UTAH,39-25-36.0000N 112-19-58.0000W
DEFER,NORTH CAROLINA,35-45-34.1800N 078-46-56.8000W
DEFFN,SOUTH CAROLINA,34-29-13.4200N 081-55-05.6400W
DEFIS,UTAH,40-38-08.8900N 111-52-28.8700W
DEFJO,PENNSYLVANIA,AWY*LD*064.49/6.61 42-08-21.6200N 080-03-58.6600W
DEFKI,IDAHO,43-38-02.8900N 116-37-28.1500W
DEFLU,PENNSYLVANIA,40-50-15.0800N 079-42-13.6100W
DEFND,MARYLAND,39-19-42.0800N 077-28-10.9400W
DEFOE,OHIO,41-02-37.3100N 081-02-44.9400W
DEFOX,SOUTH CAROLINA,XUU*LD*182.96/8.22 35-05-07.4600N 080-57-19.4200W
DEFSA,IOWA,41-46-28.5700N 093-00-19.5500W
DEFTS,KENTUCKY,LUK*LD/4.61 39-01-04.6600N 084-27-22.6800W
DEFUN,FLORIDA,MGM*C*170.41 CEW*C*088.31/28.31 30-48-51.2700N 086-07-53.0900W
DEFYA,MINNESOTA,46-21-53.7500N 094-12-15.6900W
DEGAA,ALABAMA,33-34-30.5800N 086-02-32.9600W
DEGAN,ILLINOIS,GCO*OD* /23.38 DPA*D*152.30 FJU*LS*224.50 41-41-00.5100N 088-13-02.5900W
DEGAY,VIRGINIA,RIC*C*018.29/20.35 37-50-15.0100N 077-15-04.2200W
DEGCA,NEW MEXICO,35-18-51.8800N 108-00-23.7700W
DEGCE,MISSOURI,40-20-57.0100N 095-22-08.2800W
DEGDE,PENNSYLVANIA,41-12-52.5700N 075-36-05.3100W
DEGDY,PENNSYLVANIA,40-29-04.3800N 075-58-50.2600W
DEGEC,ALASKA,68-06-30.5400N 145-35-44.1000W
DEGEY,MASSACHUSETTS,42-13-55.6200N 071-12-07.6900W
DEGHU,NEVADA,40-57-24.4300N 115-57-01.7300W
DEGLE,CALIFORNIA,OCN*C*068.72 PGY*C*336.00/40.00 33-16-05.1000N 117-07-01.7300W
DEGNE,CALIFORNIA,RIV*T* /9.27 RIV*LS*135.33 33-46-20.5600N 117-10-57.2700W
DEGVY,MISSOURI,37-46-22.1000N 089-53-58.7900W
DEGYE,TENNESSEE,35-45-00.7300N 088-10-16.1700W
DEHAM,CALIFORNIA,RIV*T* /15.22 RIV*LS*135.31 33-41-12.4700N 117-07-19.1900W
DEHAN,GEORGIA,34-19-00.2500N 084-04-18.0900W
DEHBU,WISCONSIN,46-38-14.6600N 092-13-23.5600W
DEHLR,MONTANA,45-44-28.4900N 108-40-51.8600W
DEHOG,ARIZONA,SJN*C*255.56/43.19 34-23-24.9400N 110-00-45.1400W
DEHYY,OHIO,40-52-28.2700N 081-38-09.6500W
DEICE,CALIFORNIA,36-29-36.7300N 119-24-15.4800W
DEIGN,COLORADO,40-01-10.2700N 102-10-50.2700W
DEJAA,GEORGIA,BRU*LD*094.99/6.69 33-38-48.3700N 084-18-29.5300W
DEJAY,VIRGINIA,38-55-18.6100N 077-24-57.3500W
DEJJE,ALASKA,ADK*RD*275.16/22.00 51-56-50.4100N 177-15-11.7200W
DEJPI,PENNSYLVANIA,40-50-22.4300N 079-01-55.2900W
DEJZU,MAINE,45-19-39.6100N 067-45-52.1700W
DEKAL,OFFSHORE ATLANTIC,ZBV*C*299.71/20.24 FLL*D*120.67/31.87 25-51-02.0200N 079-37-52.8900W
DEKAY,WEST VIRGINIA,EKN*C*126.88/43.55 38-32-59.0100N 079-17-49.0800W
DEKEC,TEXAS,HOB*C*035.53/18.00 32-50-41.1700N 103-00-39.1900W
DEKEY,WISCONSIN,42-56-44.7100N 089-21-01.3100W
DEKKA,PUERTO RICO,SJU*C*259.00/40.00 18-13-38.0400N 066-39-06.3200W
DEKKE,ALABAMA,31-21-59.0700N 085-31-03.4000W
DEKKR,WYOMING,42-21-25.9800N 109-02-18.0600W
DEKLE,MISSISSIPPI,32-23-43.9700N 090-07-20.6200W
DEKMO,OFFSHORE PACIFIC,88-52-01.0100N 141-00-00.0000W
DEKRE,NORTH DAKOTA,46-53-45.5900N 103-56-13.6900W
DEKRT,CALIFORNIA,33-49-58.9700N 117-40-39.0600W
DEKTE,COLORADO,40-26-46.2500N 104-07-54.6500W
DEKUM,OFFSHORE PACIFIC,21-57-08.0000N 154-35-51.0000W
DEKYA,ALASKA,66-35-32.4100N 160-00-32.2400W
DELAC,GUAM,13-34-45.2000N 145-02-55.4800E
DELAT,OKLAHOMA,TUL*C*358.18/42.65 BVO*D*067.00/16.22 36-54-14.0000N 095-41-33.7200W
DELAW,WEST VIRGINIA,JPU*D*205.52/21.00 PKB*LS*207.05 39-07-02.8600N 081-32-49.2600W
DELAY,IOWA,LMN*D*357.40 DSM*C*253.92/10.79 DWW*LD*232.82/13.30 41-24-32.1800N 093-53-04.5500W
DELCI,RHODE ISLAND,41-13-53.3200N 072-00-39.2800W
DELCO,ILLINOIS,MTO*OD* /18.91 TTH*C*253.72/31.79 MTO*LS*115.92 39-21-22.5700N 087-54-39.5600W
